"In a 20 mph collision, 4% of pedestrians die, 30 mph is 55%, and 40 mph is over 80%.","Guide for the Planning, Design, and Operation of Pedestrian Facilities",,,,AASHTO,,Cars
A good plan today is better than a perfect plan tomorrow.,,,George,S.,Patton,,Leadership
"Assuming either the Left Wing or the Right Wing gained control of the country, it would probably fly around in circles.",,,Pat,,Paulsen,,Government
"Change your thoughts, and you change your world.",,,Norman,Vincent,Peale,,Wisdom
"There are very few building that stand out. Look at the Piazza San Marco: None of the buildings that surround it are so extraordinary as a single entity, but the totality creates one of the most beautiful human spaces in the world. It's that harmony and concert above all that makes for great cities.",on Venice,,Cesar,,Pelli,,Urbanism
"Over the last 30 years, we've been able to magnify environmental consciousness all over the world. As a result, we know a lot about the ideal environment for a happy whale or a happy mountain gorilla. We're far less clear about what constitutes an ideal environment for a happy human being. One common measure for how clean a mountain stream is, is to look for trout. If you find the trout, the habitat is healthy. It's the same way with children in a city. Children are a kind of indicator species. If we can build a successful city for children, we will have a successful city for all people.",,,Enrique,,Penalosa,,City
"A premise of the new city is that we want a society to be as egalitarian as possible. For this purpose, quality-of-life distribution is more important than income distribution. [And quality of life includes] a living environment as free of motor vehicles as possible.",,,Enrique,,Penalosa,,City
Anything you do to make a city more friendly to cars makes it less friendly to people.,,,Enrique,,Penalosa,,Walkability
"God made us walking animals—pedestrians. As a fish needs to swim, a bird to fly, a deer to run, we need to walk, not in order to survive, but to be happy.",,,Enrique,,Penalosa,,Walkability
Originality is the fine art of remembering what you hear but forgetting where you heard it.,,,Laurence,J.,Peter,,Wisdom
"Like water, be gentle and strong. Be gentle enough to follow the natural paths of the earth, and strong enough to rise up and reshape the world.",,,Brenda,,Peterson,,Change
Americans are in the habit of never walking if they can ride.,1798,,Louis,,Philippe,,Walkability
"In art the mass of people no longer seeks consolation and exaltation, but those who are refined, rich, unoccupied, who are distillers of quintessences, seek what is new, strange, original, extravagant, scandalous. I myself, since Cubism and before, have satisfied these masters and critics with all the changing oddities which passed through my head, and the less they understood me, the more they admired me. By amusing myself with all these games, with all these absurdities, puzzles, rebuses, arabesques, I became famous, and that very quickly. And fame for a painter means sales, gains, fortune, riches. And today, as you know, I am celebrated, I am rich. But when I am alone with myself, I have not the courage to think of myself as an artist in the great and ancient sense of the term. Giotto, Titian, Rembrandt were great painters. I am only a public entertainer who has understood his times and exploited as best he could the imbecility, the vanity, the cupidity of his contemporaries. Mine is a bitter confession, more painful than it may appear, but it has the merit of being sincere.",,,Pablo,,Picasso,,Modernism
"I am always doing that which I can not do, in order that I may learn how to do it.",,,Pablo,,Picasso,,Wisdom
"Urbanism is to the built environment as philosophy and theology are to the life of the mind: at once ambitious and humble, comprehensive in its intellectual purview and ambition, omitting nothing...",,,G. K.,,Picorbo,,City
American families own such a surfeit of consumer goods that they have turned self-storage into a $17 billion a year industry.,,,Daniel,,Pink,,Smallness
Some collective practices have enormous inertia because they impose a high cost on the individual who would try to change them.,,,Steven,,Pinker,,Leadership
"If you see a flame, bring the gasoline!",,,Pat,,Pinnell,,Change
"When you're on the street [as a pedestrian], all cars are monsters. When you're in a car, all pedestrians are idiots.",,,Alan,E.,Pisarski,,Walkability
"With every building you build, you build a city.",,,Elizabeth,,Plater-Zyberk,,City
Thank God the architecture didn't affect the food.,at Charles De Gaulle Airport,,Elizabeth,,Plater-Zyberk,,Modernism
The architectural elite in this country has abdicated its position of leadership. It is concerned only in justifying itself to itself.,,,Elizabeth,,Plater-Zyberk,,Modernism
"It was clear that there needed to be a movement for the architects of the middle ground, once the elite became inaccessible.",,,Elizabeth,,Plater-Zyberk,,New Urbanism
Cars moving through neighborhoods are only borrowing the public space of the dwellings facing the street.,,,Elizabeth,,Plater-Zyberk,,Thoroughfares
"People will only get out of the car if it's safe, comfortable and interesting to walk from your house to the train, from the train to your job or from shopping to the bus.",,,Elizabeth,,Plater-Zyberk,,Walkability
"People who think rising gas prices are a minor problem that will go away or be solved by growing more corn are out of touch with the way we live now. Tens of millions low-paid Americans have used their cars and cheap gas to find inexpensive houses a long way from their work. $3 gas is causing them problems. $5 gas will cause more problems. When this happened in 1973, the economy was hit hard and a thirty-year period of tremendous inflation started. At this point in time, the inflation has outpaced the oil price increases. That will change and we will have great economic changes.",,,Robin,,Pogrebin,,Cars
"You have two choices, as I see it, either scrape the town and move north, or create a town that can take a swim every 30 years.",on Biloxi after Katrina,,Stefanos,,Polyzoides,,Architecture
Such an architecture of choosing (eklegein in Greek) is in the best sense of the word eclectic.,,,Stefanos,,Polyzoides,,Architecture
New York's loss is Los Angeles's gain.,"after Herbert Muschamp hand-picked Nicolai Ouroussoff, the architecture critic of the Los Angeles Times, to succeed him as the architecture critic of the New York Times.",,Stefanos,,Polyzoides,,Modernism
"At this time, and for the foreseeable future, the only way to act as a New Urbanist, is to stay put wherever you choose to be in the world, to fight fiercely for beautiful, sustainable, wealth-generating and just cities, and to actively share the journey with colleagues around the globe.",,,Stefanos,,Polyzoides,,New Urbanism
 ... the particularity of place that we all treasure... ,,,Stefanos,,Polyzoides,,Urbanism
The desire for community is a constant of human nature.,,,Steven,,Price,,Community
"If our presence in nature is by definition denuding and corrupting, wouldn't it follow that the truly moral alternative would be to live on Manhattan?",,,David,,Rakoff,,Environment
Americans will put up with anything provided it doesn't block traffic.,,,Dan,,Rather,,Cars
"If you follow all the rules, you will miss all the fun.",,,from a ,,refrigerator magnet,,Wisdom
California grows at the rate of one Pasadena every month and a Massachussets every decade.,,,Nelson,,Reising,,Development
I’m a slabowner in the neighborhood.,,,,,"resident of Pass Christian, Mississippi, who would have used the term homeowner before Katrina",,Community
Well-planned cities can compensate for declining incomes by decreasing the cost of living.,,,Henry,,Richmond,,Affordable Housing
A Constitution is a declaration of interdependence. Metropolitan regions without regional plans are states without a constitution.,,,Henry,,Richmond,,Planning
Transit fulfills the right to find jobs throughout the region.,,,Henry,,Richmond,,Transportation
To achieve excellence should be a struggle.,,,Joseph,,Riley,Mayor of Charleston,Wisdom
We live in a country made of spare parts where the master plan has been lost.,,,Jaquelyn,,Robertson,,Planning
Every freedom has a corresponding responsibility.,,,John,D.,Rockefeller,,Wisdom
There is no lack of space [in cities]. It is just that most of it is in the form of vacant parking lots and extra wide roads.,,,Michael,,Ronkin,,City
"You gain strength, courage and confidence in every experience in which you really stop to look fear in the face. You must do the thing you think you cannot do.",,,Eleanor,,Roosevelt,,Wisdom
"I could not, at any age, be content to take my place by the fireside and simply look on. Life was meant to be lived. Curiosity must be kept alive. One must never, for whatever reason, turn his back on life.",,,Eleanor,,Roosevelt,,Wisdom
No one can make you feel inferior without your consent.,,,Eleanor,,Roosevelt,,Wisdom
"From time to time, little men will find fault with what you have done...but they will go down the stream like bubbles, they will vanish. But the work you have done will remain for the ages.",,,Theodore,,Roosevelt,,Wisdom
There shall be no hyphenated Americans.,,,Theodore,,Roosevelt,,Wisdom
"The ideal city? Out the front door, London; out the back door, Los Angeles.",,,Colin,,Rowe,,City
"The measure of any great civilization is in its cities, and the measure of a city's greatness is to be found in the quality of its public spaces, its parks and squares.",,,John,,Ruskin,,City
Boston City Hall is the crate that Faneuil Hall came in.,,,Robert,,Russell,,Modernism
"Always design a thing by considering it in its next largest context — a chair in a room, a room in a house, a house in an environment, an environment in a city plan.",,,Eliel,,Saarinen,,Design
You really don't have to be sick to get better,,,Nick,,Saban,,Wisdom
Intuition will tell the thinking mind where to look next.,,,Jonas,,Salk,,Wisdom
The only way you run into someone else in LA is in a car crash.,on why she moved to New York,,Susan,,Sarandon,,Sprawl
"Four years ago there was in this country one automobile to every 1,500,000 inhabitants. Two years ago there was one to every 6,500 inhabitants. To-day there is one to every 1,200 inhabitants. Give us another five years, and they will be as thick in this country as mosquitos on the Hackensack Meadows.","The New York Times, January 22, 1905",,Winthrop,E.,Scarrett,President of the Automobile Club of America,Cars
America suburbia is that place where people put their bikes on their cars and drive them out to the country so they can cycle in circles.,,,Steve,,Schmitt,Coalition for Appropriate Transportation,Transportation
"When a new truth enters the world, the first stage of reaction to it is ridicule, the second stage is violent opposition, and in the third stage, that truth comes to be regarded as self-evident",,,Arthur,,Schopenhauer,,Wisdom
"A culture of inertia has set in. Criticism predominates over construction; critics are given more weight than those trying to build. It doesn't matter how small a constituency or flawed an argument the critic possesses. He or she always seems to predominate in political circles, in the news media, and in the public debate.",,Senator,Charles,E.,Schumer,,Public Process
Example is not the main thing in influencing others. It is the only thing.,,,Albert,,Schweitzer,,Leadership
All the kindness which a man puts out into the world works on the heart and thoughts of mankind.,,,Albert,,Schweitzer,,Wisdom
"Although the American scarcely thought of his car as an instrument for reshaping the city, it was to prove the most potent means of crippling Central Business Districts and upbuilding outlying shopping areas that had ever been invented. It was the most effective device for spreading the city over a vast territory that history had ever seen. Its potential for destruction and for construction was, in short, awesome.",,,Mel,,Scott,,Cars
"The automobile was, and remains, the agent of chaos, the breaker of the city.",,,Vincent,,Scully,,City
"What befalls the earth befalls all the sons of the earth. This we know: the earth does not belong to man, man belongs to the earth. All things are connected like the blood that unites us all. Man does not weave this web of life. He is merely a strand of it. Whatever he does to the web, he does to himself.",,,Chief,,Seattle,1786-1866,Community
"The idea that one might have to recognize and defer to other things, like cities and future generations, seems to have vanished from much of our culture.",,,Steve,,Semes,,Wisdom
"As a tale, so is life; not how long it is, but how good it is, is what matters.",,,,,Seneca,,Wisdom
"If you have brains in your head and feet in your shoes, if the street isn’t nice, you’ll go where you choose.",,,Dr.,,Seuss,,City
"I am of the opinion that my life belongs to the community, and as long as I live it is my privilege to do for it whatever I can.",,,George,Bernard,Shaw,,Community
"When a thing is funny, search it carefully for a hidden truth.",,,George,Bernard,Shaw,,Wisdom
"American cities put a floor under the parking supply to satisfy the peak demand for free parking, and then cap development density to limit vehicle trips. European cities, in contrast, often cap the number of parking spaces to avoid congesting the roads and combine this strategy with a floor on allowed development density to encourage walking, cycling, and public transport. That is, Americans require parking and limit density, while Europeans require density and limit parking. When combined with complaints about traffic congestion and calls for smart growth, the American policy looks exceptionally foolish.",The High Cost of Free Parking,,Donald,,Shoup,,Density
"Off-street parking requirements [imposed by a city for new developments] and cars...present a symbiotic relationship: the requirements lead to free parking, the free parking leads to more cars and more cars then lead to even higher parking requirements. When 3 spaces per 1,000 square feet [of new building] no longer satisfy the peak demand for free parking, a stronger dose of 4 spaces per 1,000 square feet can alleviate the problem, but not for long because cars increase in numbers to fill the new parking spaces. Every jab of the parking needle relieves the local symptoms, but ultimately worsens the real disease -- too much land and capital devoted to parking and cars. Parking requirements are good for motorists in the short run but bad for cities in the long run.",The High Cost of Free Parking,,Donald,,Shoup,,Parking
"For a concert hall, Los Angeles requires, at a minimum, 50 times more parking spaces than San Francisco allows as the maximum. This difference in planning helps explain why downtown San Francisco is much more exciting and livable than downtown Los Angeles.",The High Cost of Free Parking,,Donald,,Shoup,,Parking
Minimum parking standards are fertility drugs for cars.,,,Donald,,Shoup,,Parking
"Staunch conservatives often become ardent communists when it comes to parking, and rational people quickly turn emotional.",,,Donald,,Shoup,,Parking
"If we continue to do what we've always done with curb parking, we will continue to get what we now have -- the parking problem, with all its ramifications. Fortunately, we can resolve this problem if we: (1) charge market prices for curb parking; (2) return the revenue to finance neighborhood public improvements; and (3) remove off-street parking requirements. No other source of public revenue can so easily bring in so much money and simultaneously improve transportation, land use, and the environment.",,,Donald,,Shoup,,Parking
"If the earth was an apartment, we wouldn't be getting our security deposit back.",,,Jim,,Shubert,,Sustainability
"Pay no attention to what the critics say... Remember, a statue has never been set up in honor of a critic.",,,Jean,,Sibelius,,Wisdom
A suburban through street is similar to a New Urbanist through street in the same way that a concrete flood channel is similar to a babbling brook.,,,Patrick,,Siegman,,Thoroughfares
Preserving natural habitat by creating better human habitat.,,,,,Smart Growth America's web site,,Environment
When the laws are uncertain we are more in the power of their administrator.,,,Adam,,Smith,,Law
I tell him to come out on the edge where you have to live and breathe. It's a different story out there.,to Terence Cody,,Andre,,Smith,,Wisdom
There are two types of environmentalists: those who understand that the city is part of the environment and those who do not.,,,Paul,,Soglin,Mayor of Madison WI,Environment
"People move to the suburbs for the illusion of greater freedom, but it is where there is density... more people & more kinds of people, more buildings & more kinds of buildings... that there are more choices.",,,Sandy,,Sorlien,,Density
"The house itself is of minor importance. Its relation to the community is the thing that really counts. A small house must depend on its grouping with other houses for its beauty, and for the preservation of light air and the maximum of surrounding open space.",,,Clarence,,Stein,,Community
Everybody gets so much information all day long that they lose their common sense.,,,Gertrude,,Stein,,Wisdom
Power does not corrupt. Fear corrupts... perhaps the fear of a loss of power.,,,John,,Steinbeck,,Government
"The opposite to bad development is good development, not no development.",,,Padriac,,Steinschneider,,Development
"The great thing about urbanism…is that the more you build, generally the better. The opposite is true of sprawl.",,,Robert,,Steuteville,,Urbanism
"The facile delusions which conceal from us our true situation all amount to this: that we are, or can be, wiser than the wisest men of the past. And it seems to me that the cause of this situation is that we have lost all authoritative traditions in which we can trust.",,,Leo,,Strauss,,Law
"There are three rules of urban design [for the establishment and preservation of walkable commercial areas]. Build [buildings] to the sidewalk (i.e., property line), make the front of the building 'permeable' (i.e., no blank walls), and prohibit parking lots in front of the building.",City Comforts (2003),,David,,Sucher,,Codes
Conscience is God's presence in man.,,,Emanuel,,Swedenborg,,Wisdom
"Marxists are ideologues, espousing either/or and dialectics rather than the both/and arguing which explores strengths and weaknesses.",,,Emily,,Talen,,Change
"There lives more faith in honest doubt, believe me, than in half the creeds",,,,,Tennyson,,Wisdom
"Environmentalists should make good urbanists, since they understand systems, diversity, connectivity and interdependence.",,,Caryl,,Terrell,,Environment
Environmentalists fail to understand that human beings are a life form.,,,Dhiru,,Thadani,,Environment
Consensus is the absence of leadership.,,,Margaret,,Thatcher,,Leadership
"Altogether some 47 million people, one in six Americans, live in 18 million homes in 230,000 community associations and pay around $35 billion in fees every year. Around 1.25 million people serve on community association boards.","Sep 1, 2001",,,,The Economist,,City
Soar with the pigs and wallow with the eagles.',,,Hunter,,Thompson,,Wisdom
It is vain to dream of a wilderness distant from ourselves.,,,Henry,David,Thoreau,,Environment
"A town is saved, not more by the righteous men in it than by the woods and swamps that surround it.",,,Henry,David,Thoreau,,Environment
Men have become the tools of their tools.,,,Henry,David,Thoreau,,Modernism
It is not enough to be busy. The question is: What are we busy about?,,,Henry,David,Thoreau,,Wisdom
"Each new year is a surprise to us. We find that we had virtually forgotten the note of each bird, and when we hear it again, it is remembered like a dream, reminding us of a previous state of existence.",,,Henry,David,Thoreau,,Wisdom
"I know that most men, including those at ease with problems of the greatest complexity, can seldom accept even the simplest and most obvious truth if it be such as would oblige them to admit the falsity of conclusions which they have delighted in explaining to colleagues, which they have proudly taught to others, and which they have woven, thread by thread, into the fabric of their lives.",,,Leo,,Tolstoy,,Wisdom
A city that outdistances man's walking powers is a trap for man.,,,Arnold,,Toynbee,"Historian, 1889-1975",Walkability
Whenever you have an efficient government you have a dictatorship.,,,Harry,S.,Truman,,Government
Always do right. It will gratify some people and astonish the rest.,,,Mark,,Twain,,Wisdom
More roads create more traffic.,,,,,UK Department of Transport,,Thoroughfares
"Is the whole of life visible to us, or isn't it rather that this side of death we see only one hemisphere? Painters--to take them alone--dead and buried, speak to the next generation or to several succeeding generations through their work. Is that all, or is there more to come? Perhaps death is not the hardest thing in a painter's life. For my own part, I declare I know nothing whatever about it, but looking at the stars always makes me dream, as simply as I dream over the black dots representing towns and villages on a map. Why, I ask myself, shouldn't the shining dots of the sky be as accessible as the black dots on the map of Xxxx? Just as we take the train to get to Yyyyyyy or Zzzzz, we take death to reach a star.",,,Vincent,,van Gogh,,Wisdom
"The paradox of transportation in the late 20th Century is that while it became possible to travel to the moon, it also became impossible, in many cases, to walk across the street.",,,Joell,,Vanderwagen,,Transportation
Some people are so afraid to die that they never begin to live.,,,Henry,,Vandyke,,Wisdom
Time changes everything...Except the timeless.,Advertisement,,,,Vespa Motorscooters,,Tradition
Walk to Work. Drive for Fun.,"An advertisement for a condominium high-rise two blocks south of the Chicago Board of Trade, and offering a drawing for a Mini Cooper. Developer: Roszak/ADC, marketed by Maher Partners",,,,Vetro,,Cars
Man stand on hillside with mouth open for a long time before fried duck fly into it.,Vietnamese saying,,,,Anonymous,,Wisdom
"Daring ideas are like chessmen moved forward. They may be beaten, but they may start a winning game.",,,Johan,Wolfgang,von Goethe,,Change
"Tradition is the tending of the fire, not the worship of the ashes.",,,Johan,Wolfgang,von Goethe,,Tradition
"What should young people do with their lives today? Many things, obviously. But the most daring thing is to create stable communities in which the terrible disease of loneliness can be cured.",,,Kurt,,Vonnegut,,City
Human beings will be happier... not when they cure cancer or get to Mars or eliminate racial prejudice or flush Lake Erie... but when they find ways to inhabit primitive communities again. That's my utopia.,,,Kurt,,Vonnegut,,Vernacular
Never look at an ugly thing twice. It is fatally easy to get accustomed to corrupting influences.,,,C.F.A.,,Voysey,,Wisdom
The things we don’t do early in the day are generally the things that don’t get done. We indicate what we value the most by doing it at the beginning of the day. We indicate the things we value least by putting them off.,,,Esther,,Wahlin,,Wisdom
"50 years ago, city planning practices and codes moved from being community unifiers to suburban dividers.",,,Tom,,Walsh,,Planning
"For the first time in human history, people are systematically building meaningless places.",,,E. V.,,Walter,,Sprawl
"They always say time changes things, but you actually have to change them yourself.",,,Andy,,Warhol,,Change
"How soon we forget history... Government is not reason. Government is not eloquence. It is force. And, like fire, it is a dangerous servant and a fearful master.",,,George,,Washington,,Government
I am tired of being blamed for owning an SUV when I actually walk to work every day. It is not the miles per gallon that matters; it's the gallons per person. Cars don’t burn gas... people do.,,,Mike,,Watkins,,Cars
"If you create the most beautiful and evocative memorial that lasts 10 years, you have not truly met your objective. You must build a memorial that will last through the generations.",on the Oklahoma Bombing Memorial,,Kari,,Watkins,,Community
"Generica: Fast food joints, strip malls, and subdivisions, as in we were so lost in Generica, I didn't know what city it was.",,,Steve,,Weigand,,Sprawl
I get up every morning determined both to change the world and to have one hell of a good time. Sometimes this makes planning the day difficult.,,,E. B.,,White,,Change
That looks like they're trying to go around the world in 80 styles...,on a style-based TND using far too many styles,,Janna,,Whitley,,Style
The public is a thick-skinned beast and you have to keep whacking away on its hide to let it know you're there.,,,Walt,,Whitman,,Change
You can measure the health of a city by the vitality and energy of its streets and public spaces.,,,Holly,,Whyte,,City
It is difficult to design a place that will not attract people. What is remarkable is how often this has been accomplished.,,,William,H.,Whyte,,Sprawl
Discontent is the first step in the progress of man or nation.,,,Oscar,,Wilde,,Change
One is tempted to define man as a rational animal who always loses his temper when he is called upon to act in accordance with the dictates of reason.,,,Oscar,,Wilde,,Wisdom
"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness, that frightens us most. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, and famous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that people won't feel insecure around you. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in all of us. And when we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.",quoted by Nelson Mandela in his 1994 inauguration,,Maryanne,,Williamson,,Wisdom
The problem with the Global Village is all the Global Village Idiots.,,,From,,Wired Magazine,,Connectivity
Philosophy is a battle against the bewitchment of our intelligence by means of language.,,,Ludwig,,Wittgenstein,,Wisdom
"Has there ever been another place on earth where so many people of wealth and power have paid for and put up with so much architecture they detested? I doubt it seriously. Every child goes to school in a building that looks like a duplicating-machine replacement-parts wholesale distribution warehouse. Not even the school board, who commissioned it and approved the plans, can figure it out. The main thing is to try to avoid having to explain it to the parents.",From Bauhaus to Our House,,Tom,,Wolfe,,Modernism
"What we must know in organic architecture is not found in books. It is necessary to have recourse to Nature with a capital N in order to get an education. Necessary to learn from trees, flowers, shells -- objects which contain truths of form following function.* If we stopped there, then it would be mererly imitation. But if we dig deep enough... we arrive at secrets of form related to purpose that will make of the tree a building, and the building a tree.",,,Frank,Lloyd,Wright,,Architecture
There is nothing more uncommon than common sense.,,,Frank,Lloyd,Wright,,Wisdom
Is it merely an arbitrary postulate to believe that all beliefs are mere arbitrary postulates?,,,John,C.,Wright,,Wisdom
To become unfashionable is fatal for that which is only a fashion. But for a substantial proposition it is not a depressing prospect to pass out of fashion.,,,Jose,Ortega,y Gasset,,Architecture
I've always said you can't undo ugly but Katrina did it for us,,,Tonda,,Yandell,Planning Commissioner for Long Beach,Architecture
Progress in society is led by progress in the arts.,,,Toby,,Zeigler,"White House Director of Communications, The West Wing",Wisdom
"I suggest that the only books that influence us are those for which we are ready, and which have gone a little farther down the one particular path than we have yet gone ourselves.",,,E.,M.,Forster,,Wisdom
